instrument,timestamp_utc,timeframe,open,high,low,close,spread,volume,source,source_quality,gap_classification,synthetic
EURUSD,2025-01-02T00:00:00Z,5M,1.1000,1.1003,1.0998,1.1001,0.0002,100,LOCAL_SYNTHETIC_TEST_FIXTURE,SYNTHETIC_TEST_ONLY,NONE,true
EURUSD,2025-01-02T00:05:00Z,5M,1.1001,1.1004,1.0999,1.1002,0.0002,101,LOCAL_SYNTHETIC_TEST_FIXTURE,SYNTHETIC_TEST_ONLY,NONE,true
EURUSD,2025-01-02T00:10:00Z,5M,1.1002,1.1005,1.1000,1.1003,0.0002,102,LOCAL_SYNTHETIC_TEST_FIXTURE,SYNTHETIC_TEST_ONLY,NONE,true
EURUSD,2025-01-02T00:15:00Z,5M,1.1003,1.1006,1.1001,1.1004,0.0002,103,LOCAL_SYNTHETIC_TEST_FIXTURE,SYNTHETIC_TEST_ONLY,NONE,true
EURUSD,2025-01-02T00:20:00Z,5M,1.1004,1.1007,1.1002,1.1005,0.0002,104,LOCAL_SYNTHETIC_TEST_FIXTURE,SYNTHETIC_TEST_ONLY,NONE,true
EURUSD,2025-01-02T00:25:00Z,5M,1.1005,1.1008,1.1003,1.1006,0.0002,105,LOCAL_SYNTHETIC_TEST_FIXTURE,SYNTHETIC_TEST_ONLY,NONE,true
EURUSD,2025-01-02T00:30:00Z,5M,1.1006,1.1009,1.1004,1.1007,0.0002,106,LOCAL_SYNTHETIC_TEST_FIXTURE,SYNTHETIC_TEST_ONLY,NONE,true
EURUSD,2025-01-02T00:35:00Z,5M,1.1007,1.1010,1.1005,1.1008,0.0002,107,LOCAL_SYNTHETIC_TEST_FIXTURE,SYNTHETIC_TEST_ONLY,NONE,true
EURUSD,2025-01-02T00:40:00Z,5M,1.1008,1.1011,1.1006,1.1009,0.0002,108,LOCAL_SYNTHETIC_TEST_FIXTURE,SYNTHETIC_TEST_ONLY,NONE,true
EURUSD,2025-01-02T00:45:00Z,5M,1.1009,1.1012,1.1007,1.1010,0.0002,109,LOCAL_SYNTHETIC_TEST_FIXTURE,SYNTHETIC_TEST_ONLY,NONE,true
EURUSD,2025-01-02T00:50:00Z,5M,1.1010,1.1013,1.1008,1.1011,0.0002,110,LOCAL_SYNTHETIC_TEST_FIXTURE,SYNTHETIC_TEST_ONLY,NONE,true
EURUSD,2025-01-02T00:55:00Z,5M,1.1011,1.1014,1.1009,1.1012,0.0002,111,LOCAL_SYNTHETIC_TEST_FIXTURE,SYNTHETIC_TEST_ONLY,NONE,true
EURUSD,2025-01-02T01:00:00Z,5M,1.1012,1.1015,1.1010,1.1013,0.0002,112,LOCAL_SYNTHETIC_TEST_FIXTURE,SYNTHETIC_TEST_ONLY,NONE,true
EURUSD,2025-01-02T01:05:00Z,5M,1.1013,1.1016,1.1011,1.1014,0.0002,113,LOCAL_SYNTHETIC_TEST_FIXTURE,SYNTHETIC_TEST_ONLY,NONE,true
EURUSD,2025-01-02T01:10:00Z,5M,1.1014,1.1017,1.1012,1.1015,0.0002,114,LOCAL_SYNTHETIC_TEST_FIXTURE,SYNTHETIC_TEST_ONLY,NONE,true
EURUSD,2025-01-02T01:15:00Z,5M,1.1015,1.1018,1.1013,1.1016,0.0002,115,LOCAL_SYNTHETIC_TEST_FIXTURE,SYNTHETIC_TEST_ONLY,NONE,true
EURUSD,2025-01-02T01:20:00Z,5M,1.1016,1.1019,1.1014,1.1017,0.0002,116,LOCAL_SYNTHETIC_TEST_FIXTURE,SYNTHETIC_TEST_ONLY,NONE,true
EURUSD,2025-01-02T01:25:00Z,5M,1.1017,1.1020,1.1015,1.1018,0.0002,117,LOCAL_SYNTHETIC_TEST_FIXTURE,SYNTHETIC_TEST_ONLY,NONE,true
EURUSD,2025-01-02T01:30:00Z,5M,1.1018,1.1021,1.1016,1.1019,0.0002,118,LOCAL_SYNTHETIC_TEST_FIXTURE,SYNTHETIC_TEST_ONLY,NONE,true
EURUSD,2025-01-02T01:35:00Z,5M,1.1019,1.1022,1.1017,1.1020,0.0002,119,LOCAL_SYNTHETIC_TEST_FIXTURE,SYNTHETIC_TEST_ONLY,NONE,true
EURUSD,2025-01-02T01:40:00Z,5M,1.1020,1.1023,1.1018,1.1021,0.0002,120,LOCAL_SYNTHETIC_TEST_FIXTURE,SYNTHETIC_TEST_ONLY,NONE,true
EURUSD,2025-01-02T01:45:00Z,5M,1.1021,1.1024,1.1019,1.1022,0.0002,121,LOCAL_SYNTHETIC_TEST_FIXTURE,SYNTHETIC_TEST_ONLY,NONE,true
EURUSD,2025-01-02T01:50:00Z,5M,1.1022,1.1025,1.1020,1.1023,0.0002,122,LOCAL_SYNTHETIC_TEST_FIXTURE,SYNTHETIC_TEST_ONLY,NONE,true
EURUSD,2025-01-02T01:55:00Z,5M,1.1023,1.1026,1.1021,1.1024,0.0002,123,LOCAL_SYNTHETIC_TEST_FIXTURE,SYNTHETIC_TEST_ONLY,NONE,true
EURUSD,2025-01-02T02:00:00Z,5M,1.1024,1.1027,1.1022,1.1025,0.0002,124,LOCAL_SYNTHETIC_TEST_FIXTURE,SYNTHETIC_TEST_ONLY,NONE,true
